Strategy,Total Cost ($M),Investment ($M),Worst Operating ($M),Depot Capacity (tons),Mode Capacity (t/mo),Worst Scenario,Num Scenarios,Solve Time (s),LP Status
nominal,3573.8765000000003,66.86,3507.0165000000006,600 / 600,358 / 0 / 0,0 events,1,0.01,optimal
independent,3574.2705454545453,67.03636363636363,3507.234181818182,600 / 600,432 / 0 / 0,6 events,51,0.4,optimal
burst,3578.9729509803924,69.0203025210083,3509.952648459384,600 / 600,418 / 300 / 130,2 events,1000,19.25,optimal
inventory_only,3578.9729509803915,69.0203025210083,3509.952648459383,600 / 600,418 / 300 / 130,2 events,1000,8.57,optimal
redundancy_only,3578.9729509803924,69.0203025210084,3509.952648459384,600 / 600,418 / 300 / 130,2 events,1000,15.32,optimal
joint,3578.9729509803924,69.0203025210083,3509.952648459384,600 / 600,418 / 300 / 130,2 events,1000,19.27,optimal
