label,sample_size,distinct_matrices_in_sample,contains_1295,contains_1220,in_sample_total_cost,in_sample_worst_recourse,complete_library_total_cost,complete_library_worst_recourse,gap_vs_in_sample,gap_vs_exact_optimum,in_sample_rel_dev_from_exact_pct,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,investment_cost,worst_scenario_id,worst_events_json,worst_unmet_tons,master_assembly_plus_lp_time_s,maximal_set_eval_time_s,wall_time_s
random_seed_9,1000,998,False,False,3579741368.251166,3511159654.1705956,6579163523.249168,6510581809.168598,2999422154.9980025,2998070050.2137294,-0.0377567576622641,600.0,600.0,343.18536669320366,171.68588902957023,158.33333333333334,68581714.08057015,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,13.44839882850647,3.2973711490631104,16.94811701774597
random_seed_10,1000,999,False,False,3579631168.81259,3511020494.379727,6579157007.766199,6510546333.333336,2999525838.953609,2998063534.73076,-0.04083401435510145,600.0,600.0,358.3333333333333,169.63178690644557,158.33333333333331,68610674.4328632,1295,"[[0, 0, 6], [1, 0, 6]]",600.0000000000002,11.88525390625,3.303338050842285,15.390653848648071
random_seed_11,1000,999,False,False,3579863834.7047434,3511273287.754114,6579260880.283961,6510670333.333332,2999397045.579218,2998167407.2485223,-0.03433695154718628,600.0,600.0,308.3333333333333,197.37415295258074,158.33333333333334,68590546.9506293,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,12.168401956558228,3.4026103019714355,15.77065896987915
random_seed_12,1000,997,False,False,3578743100.0,3509887100.0,8278567400.0,8209711400.0,4699824300.0,4697473926.964561,-0.0656328312326003,600.0,600.0,350.0,300.0,130.0,68856000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.948801040649414,2.797982931137085,15.949111938476562
random_seed_13,1000,998,False,False,3579648127.8705635,3510988438.413361,6579188049.712943,6510528360.25574,2999539921.8423796,2998094576.677504,-0.040360442299496604,600.0,600.0,383.5921189979123,166.4078810020877,158.33333333333334,68659689.45720251,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,11.605849027633667,3.0849552154541016,14.89451003074646
random_seed_14,1000,998,False,False,3579758169.486343,3511091275.886669,6579231393.599673,6510564499.999999,2999473224.1133304,2998137920.5642343,-0.037287592718552115,600.0,600.0,350.0,190.80377768717608,158.33333333333334,68666893.59967384,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,13.17647099494934,3.1568400859832764,16.535037994384766
random_seed_15,1000,999,False,False,3578889900.0,3510105900.0,8278571600.0,8209787600.0,4699681700.0,4697478126.964561,-0.06153352466310246,600.0,600.0,320.0,300.0,130.0,68784000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.300631046295166,2.977738857269287,16.47846293449402
random_seed_16,1000,999,False,False,3577924774.108322,3509162000.0,10077523274.108322,10008760500.0,6499598500.0,6496429801.072884,-0.08848411668045597,600.0,600.0,450.0,267.43725231175694,100.0,68762774.10832232,1295,"[[0, 0, 6], [1, 0, 6]]",950.0,12.973237991333008,3.107583999633789,16.281944036483765
random_seed_17,1000,997,False,False,3578855500.0,3510119500.0,8278574400.0,8209838400.0,4699718900.0,4697480926.964561,-0.06249412511263057,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,11.766775131225586,3.314436912536621,15.280903816223145
random_seed_18,1000,999,False,False,3579052802.3255816,3509783500.0,8278927702.325582,8209658400.0,4699874900.0,4697834229.290142,-0.05698456980313703,600.0,600.0,500.0,314.80620155038764,130.0,69269302.3255814,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.710442066192627,3.0621511936187744,13.973626136779785
random_seed_19,1000,998,False,False,3578851100.0,3510115100.0,8278574400.0,8209838400.0,4699723300.0,4697480926.964561,-0.06261699261198882,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.17290711402893,3.2114129066467285,16.585295915603638
random_seed_20,1000,999,False,False,3578891100.0,3510155100.0,8278574400.0,8209838400.0,4699683300.0,4697480926.964561,-0.06150001534509567,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.729283809661865,3.318647861480713,14.249358892440796
random_seed_21,1000,999,False,False,3578844013.296399,3510072212.7423825,8278610200.554016,8209838400.0,4699766187.257617,4697516727.518578,-0.06281488478247373,600.0,600.0,300.0,309.94459833788375,130.0,68771800.55401638,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.128225088119507,3.2411129474639893,16.57035803794861
random_seed_22,1000,999,False,False,3578854711.111111,3510132044.4444447,8278578844.444445,8209856177.777778,4699724133.333334,4697485371.409006,-0.06251615438650393,600.0,600.0,294.44444444444446,300.0,130.0,68722666.66666667,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,11.89855408668518,3.399106979370117,15.499653816223145
random_seed_23,1000,999,False,False,3578853611.1111107,3510050944.444444,8278570511.111112,8209767844.444445,4699716900.000001,4697477038.075672,-0.0625468712613568,600.0,600.0,327.77777777777777,300.0,130.0,68802666.66666667,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.587693691253662,2.8815817832946777,16.670269012451172
random_seed_24,1000,1000,False,False,3578890104.195804,3509971502.7972026,8278597916.083916,8209679314.685314,4699707811.888111,4697504443.048477,-0.061527822611322565,600.0,600.0,376.08391608394214,300.0,130.0,68918601.39860146,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,11.290986061096191,3.0988609790802,14.589534044265747
random_seed_25,1000,998,False,False,3579788747.649247,3511181688.458784,6579216027.088531,6510608967.898067,2999427279.4392834,2998122554.0530915,-0.036433714897866704,600.0,600.0,332.4929535163109,185.85447278440068,158.33333333333334,68607059.19046299,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.032488346099854,3.381351947784424,13.6162748336792
random_seed_26,1000,999,False,False,3579008402.4691358,3509839883.9506173,8278828105.555555,8209659587.037037,4699819703.08642,4697734632.520117,-0.05822441056071867,600.0,600.0,480.21604938271605,300.0,130.0,69168518.51851852,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.43285608291626,2.9967432022094727,15.633874893188477
