Strategy,Total Cost ($M),Investment ($M),Worst Operating ($M),Depot Capacity (tons),Mode Capacity (t/mo),Worst Scenario,Solve Time (s),LP Status
nominal,3544.0615000000003,36.86,3507.2015000000006,600 / 100,358 / 0 / 0,0 events,0.0072710514068603516,optimal
independent,3544.730676230898,37.28569916459532,3507.4449770663027,600 / 100,386 / 100 / 0,6 events,9.459359884262085,optimal
burst,3550.368332774799,39.5512600536193,3510.8170727211796,600 / 100,375 / 311 / 212,2 events,35.25853681564331,optimal
inventory_only,30056.35883333333,51.776666666666664,30004.58216666666,658 / 300,358 / 0 / 0,2 events,35.6829731464386,optimal
redundancy_only,3550.368332774799,39.5512600536193,3510.8170727211796,600 / 100,375 / 311 / 212,2 events,36.04361295700073,optimal
joint,3550.368332774799,39.5512600536193,3510.8170727211796,600 / 100,375 / 311 / 212,2 events,35.25853681564331,optimal
