Metric,Mean,Min,Max,Std. dev.
Total cost (\$M),3551.4624450978044,3550.036570929354,3552.4373584202135,0.7065366809790878
Investment (\$M),39.543170200539386,39.11179239931933,40.52991679773325,0.4257079597459644
Worst operating (\$M),3511.919274897265,3510.9226003966755,3513.280090826817,0.7650753356014806
Depot 0 (tons),600.0,600.0,600.0,0.0
Depot 1 (tons),100.0,100.0,100.0,0.0
Mode 0 (t/mo),348.24958625938115,300.0,500.0,77.45207533711232
Mode 1 (t/mo),308.88631296858745,142.1645553664809,500.0,100.45293396834097
Mode 2 (t/mo),221.580620393049,175.0,241.66666666666666,18.729822737376253
