Strategy,Total Cost ($M),Investment ($M),Worst Operating ($M),Depot Capacity (tons),Mode Capacity (t/mo),Worst Scenario,Num Scenarios,Solve Time (s),LP Status
nominal,3544.0615000000003,36.86,3507.2015000000006,600 / 100,358 / 0 / 0,0 events,1,0.01,optimal
independent,3544.730676230898,37.28569916459532,3507.4449770663027,600 / 100,386 / 100 / 0,6 events,51,0.55,optimal
burst,3552.333400478362,39.11424710263168,3513.2191533757305,600 / 100,339 / 156 / 242,2 events,500,5.09,optimal
inventory_only,3552.3334004783624,39.11424710263168,3513.219153375731,600 / 100,339 / 156 / 242,2 events,500,3.73,optimal
redundancy_only,3552.333400478362,39.11424710263171,3513.2191533757305,600 / 100,339 / 156 / 242,2 events,500,4.9,optimal
joint,3552.333400478362,39.11424710263168,3513.2191533757305,600 / 100,339 / 156 / 242,2 events,500,5.25,optimal
