design_label,design_source,design_sample_size,certification_scenarios,investment_cost_M,optimization_total_cost_M,optimization_worst_operating_cost_M,certified_total_cost_M,certified_worst_operating_cost_M,cost_gap_M,relative_gap_pct,operating_gap_M,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,worst_scenario_id,num_worst_events,worst_events_json,worst_unmet_tons,eval_time_s,lp_status,wall_time_s
redundancy_only_nominal_C,/Users/zhangyuxin/Desktop/MCM/results/06_fair_baselines/small_T24_M3_J2_K2_Gamma2_N1000_sampled/detailed_results.json,1000,29916,69.0203025210084,3578.9729509803924,3509.952648459384,8278.684856582633,8209.664554061625,4699.71190560224,131.31454107008108,4699.71190560224,600.0,600.0,418.4593837535014,300.0,130.0,1295,2,"[[0, 0, 6], [1, 0, 6]]",770.0,65.93468594551086,optimal,65.93800282478333
budget_matched_inventory,/Users/zhangyuxin/Desktop/MCM/results/06_fair_baselines/small_T24_M3_J2_K2_Gamma2_N1000_sampled/detailed_results.json,1000,29916,69.0203025210083,38406.19242194297,38337.17211942196,44405.87096918767,44336.850666666665,5999.678547244705,15.621643721747464,5999.678547244705,619.6391138273482,619.6391138273482,358.3333333333333,0.0,0.0,1220,2,"[[0, 0, 6], [0, 6, 6]]",3783.3333333333335,71.86700701713562,optimal,71.8695170879364
budget_matched_redundancy,/Users/zhangyuxin/Desktop/MCM/results/06_fair_baselines/small_T24_M3_J2_K2_Gamma2_N1000_sampled/detailed_results.json,1000,29916,69.0203025210083,3579.2418223095688,3510.2215197885607,6336.750033378851,6267.729730857843,2757.508211069282,77.04168502618667,2757.5082110692815,600.0,600.0,405.95463992047013,243.57278395228207,162.38185596818806,1295,2,"[[0, 0, 6], [1, 0, 6]]",575.7088641908715,70.19647574424744,optimal,70.19857382774353
