R_max_scale,R_max_value,Total_Cost_M,C_depot_0,C_depot_1,C_depot_total,q_mode_total,Solve_Time_s
0.5,250.0,8077.093410534672,600.0,600.0,1200.0,802.5130055652901,6.881241798400879
0.75,375.0,4827.621451981507,600.0,600.0,1200.0,869.5838837516512,5.315566062927246
1.0,500.0,3577.756145178336,600.0,600.0,1200.0,866.5125495376486,5.50603985786438
1.25,625.0,3577.756145178336,600.0,600.0,1200.0,866.5125495376486,5.788573980331421
1.5,750.0,3577.756145178336,600.0,600.0,1200.0,866.5125495376486,5.686318874359131
