iteration,master_scenarios,added_scenario_id,new_scenario,lower_bound_M,upper_bound_M,gap_M,gap_pct,master_objective_M,master_worst_operating_M,adversarial_operating_M,adversarial_total_cost_M,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,worst_scenario_id,worst_events_json,worst_unmet_tons,master_solve_time_s,master_wall_time_s,separation_time_s,iteration_wall_time_s,lp_status,converged
1,1000,1295.0,True,3578.9729509803924,8278.684856582633,4699.71190560224,56.768822427941046,3578.9729509803924,3509.952648459384,8209.664554061625,8278.684856582633,600.0,600.0,418.45938375345594,300.0,130.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,20.20623898506165,20.349596738815308,77.66500091552734,98.0148310661316,optimal,False
2,1001,1220.0,True,3580.923250549382,3583.107763200854,2.184512651472569,0.0609669816215938,3580.923250549382,3512.0578333333333,3514.242345984806,3583.107763200854,600.0,600.0,358.3333333333333,140.39367112450256,208.33333333333337,1220,"[[0, 0, 6], [0, 6, 6]]",300.0,16.80171489715576,16.938261032104492,80.35059189796448,97.2892279624939,optimal,False
3,1002,,False,3581.093473035439,3581.0934730354393,4.76837158203125e-13,1.3315406643070501e-14,3581.093473035439,3512.076,3512.0760000000005,3581.0934730354393,600.0,600.0,350.0,188.1869542886492,208.33333333333337,1295,"[[0, 0, 6], [1, 0, 6]]",300.0,15.09579610824585,15.230557918548584,77.15194702148438,92.38272285461426,optimal,True
