Strategy,Total Cost ($M),Investment ($M),Worst Operating ($M),Depot Capacity (tons),Mode Capacity (t/mo)
nominal,3573.8765000000003,66.86,3507.0165000000006,600 / 600,358 / 0 / 0
independent,3574.2705454545453,67.03636363636363,3507.234181818182,600 / 600,432 / 0 / 0
burst_joint,3578.9729509803924,69.0203025210083,3509.952648459384,600 / 600,418 / 300 / 130
inventory_only_nominal_q,38404.034083333354,66.86,38337.17408333335,600 / 600,358 / 0 / 0
inventory_only_balanced_q,3579.2443250000015,68.6195,3510.6248250000012,600 / 600,352 / 211 / 141
redundancy_only_nominal_C,3578.9729509803924,69.0203025210084,3509.952648459384,600 / 600,418 / 300 / 130
budget_matched_inventory,38406.19242194297,69.0203025210083,38337.17211942196,620 / 620,358 / 0 / 0
budget_matched_redundancy,3579.2418223095688,69.0203025210083,3510.2215197885607,600 / 600,406 / 244 / 162
