label,total_cost_M,investment_cost_M,worst_operating_cost_M,C_depot_0,C_depot_1,C_depot_total,q_mode_0,q_mode_1,q_mode_2,q_mode_total,worst_scenario_id,num_worst_events,solve_time_s,num_scenarios,lp_status,variant,description,sample_size
base,3550.718380852811,39.59050577073842,3511.127875082073,600.0,100.0,700.0,475.0,255.69682907421964,212.4996091765594,943.196438250779,49,2,5.094352722167969,400,optimal,base,Base stylized case,400
lower_reception,4807.268125459108,46.85036625746234,4760.417759201646,600.0,225.0,825.0,467.8571428571428,256.2547164283309,181.24890770322256,905.3607669886962,215,2,7.488017797470093,400,optimal,lower_reception,Destination reception capacity scaled to 0.75x,400
higher_emergency_cost,3552.6548232264186,40.44544815484232,3512.2093750715767,600.0,100.0,700.0,500.0,264.0143988670897,212.49965915933308,976.5140580264228,46,2,5.493705987930298,400,optimal,higher_emergency_cost,Emergency/high-cost mode made more expensive,400
early_spikes,3551.0378057327175,39.17647239938419,3511.8613333333333,600.0,100.0,700.0,358.3333333333333,183.4645553844956,230.0,771.797888717829,46,2,5.520660877227783,400,optimal,early_spikes,Demand spike timing shifted one month earlier,400
