design_label,scenario_id,num_events,events,operating_cost_M,total_cost_M,unmet_tons,status
nominal,1220,2,"[[0, 0, 6], [0, 6, 6]]",44336.850666666665,44403.710666666666,3783.3333333333335,optimal
independent,1220,2,"[[0, 0, 6], [0, 6, 6]]",43503.594090909086,43570.63045454545,3700.0,optimal
burst,1295,2,"[[0, 0, 6], [1, 0, 6]]",8209.664554061625,8278.684856582633,770.0,optimal
inventory_only_nominal_q,1220,2,"[[0, 0, 6], [0, 6, 6]]",44336.850666666665,44403.710666666666,3783.3333333333335,optimal
inventory_only_balanced_q,1295,2,"[[0, 0, 6], [1, 0, 6]]",7560.032724999999,7628.652224999999,704.9999999999999,optimal
redundancy_only_nominal_C,1295,2,"[[0, 0, 6], [1, 0, 6]]",8209.664554061625,8278.684856582633,770.0,optimal
budget_matched_inventory,1220,2,"[[0, 0, 6], [0, 6, 6]]",44336.850666666665,44405.87096918767,3783.3333333333335,optimal
budget_matched_redundancy,1295,2,"[[0, 0, 6], [1, 0, 6]]",6267.729730857843,6336.750033378851,575.7088641908715,optimal
