sample_size,total_cost_M,investment_cost_M,worst_operating_cost_M,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,worst_scenario_id,num_worst_events,solve_time_s,lp_status
100,3578.7521,68.856,3509.8961,600.0,600.0,350.0,300.0,130.0,20,2,0.90022873878479,optimal
500,3579.7422809230757,68.5892430769231,3511.153037846153,600.0,600.0,366.6666666666667,158.12307692308343,158.33333333333334,181,2,6.180549144744873,optimal
1000,3578.9729509803924,69.0203025210083,3509.952648459384,600.0,600.0,418.45938375345594,300.0,130.0,230,2,20.05035185813904,optimal
